term,category,locale,rendering,inflectable,source
Intro to Model Context Protocol (MCP),course-name,*,,no,data/courses.json#cleanName
Intro to NestJS,course-name,*,,no,data/courses.json#cleanName
Intro to Supabase,course-name,*,,no,data/courses.json#cleanName
Intro to UI Design Fundamentals,course-name,*,,no,data/courses.json#cleanName
Intro to Vite,course-name,*,,no,data/courses.json#cleanName
Introduction to Clean Code,course-name,*,,no,data/courses.json#cleanName
Introduction to Unit Testing,course-name,*,,no,data/courses.json#cleanName
JavaScript Interview Challenges,course-name,*,,no,data/courses.json#cleanName
Learn Accessible Web Design,course-name,*,,no,data/courses.json#cleanName
Learn AI Agents,course-name,*,,no,data/courses.json#cleanName
Learn Bootstrap,course-name,*,,no,data/courses.json#cleanName
Learn Class Components in React,course-name,*,,no,data/courses.json#cleanName
Learn Context Engineering,course-name,*,,no,data/courses.json#cleanName
Learn CSS Animations,course-name,*,,no,data/courses.json#cleanName
Learn CSS Grid,course-name,*,,no,data/courses.json#cleanName
Learn CSS Variables,course-name,*,,no,data/courses.json#cleanName
Learn Cybersecurity,course-name,*,,no,data/courses.json#cleanName
Learn Express.js,course-name,*,,no,data/courses.json#cleanName
Learn Firebase,course-name,*,,no,data/courses.json#cleanName
Learn Flexbox,course-name,*,,no,data/courses.json#cleanName
Learn Git and Github,course-name,*,,no,data/courses.json#cleanName
Learn HTML and CSS,course-name,*,,no,data/courses.json#cleanName
Learn Imba,course-name,*,,no,data/courses.json#cleanName
Learn JavaScript,course-name,*,,no,data/courses.json#cleanName
Learn Markdown,course-name,*,,no,data/courses.json#cleanName
Learn Next.js,course-name,*,,no,data/courses.json#cleanName
Learn Node.js,course-name,*,,no,data/courses.json#cleanName
Learn Python,course-name,*,,no,data/courses.json#cleanName
Learn RAG,course-name,*,,no,data/courses.json#cleanName
Learn React,course-name,*,,no,data/courses.json#cleanName
Learn React Router,course-name,*,,no,data/courses.json#cleanName
Learn Regular Expressions,course-name,*,,no,data/courses.json#cleanName
Learn Responsive Web Design,course-name,*,,no,data/courses.json#cleanName
Learn SQL,course-name,*,,no,data/courses.json#cleanName
Learn Tailwind CSS,course-name,*,,no,data/courses.json#cleanName
Learn to Code with AI,course-name,*,,no,data/courses.json#cleanName
Learn TypeScript,course-name,*,,no,data/courses.json#cleanName
Learn UI Design,course-name,*,,no,data/courses.json#cleanName
Learn Vue,course-name,*,,no,data/courses.json#cleanName
Practical Math for Frontend Developers,course-name,*,,no,data/courses.json#cleanName
Prompt Engineering for Web Developers,course-name,*,,no,data/courses.json#cleanName
React Challenges,course-name,*,,no,data/courses.json#cleanName
React Interview Questions,course-name,*,,no,data/courses.json#cleanName
The Tricky Parts of JavaScript,course-name,*,,no,data/courses.json#cleanName
Unit Testing Tutorial - In this course you'll learn to test your code as you write,course-name,*,,no,data/courses.json#title
What's New in React 19?,course-name,*,,no,data/courses.json#cleanName
AI Engineer Path,path-name,*,,no,data/courses.json#cleanName-no-article
Backend Developer Path,path-name,*,,no,data/courses.json#cleanName-no-article
Frontend Developer Path,path-name,*,,no,data/courses.json#cleanName-no-article
Fullstack Developer Path,path-name,*,,no,data/courses.json#cleanName-no-article
The AI Engineer Path,path-name,*,,no,data/courses.json#cleanName
The Backend Developer Path,path-name,*,,no,data/courses.json#cleanName
The Frontend Developer Path,path-name,*,,no,data/courses.json#cleanName
The Fullstack Developer Path,path-name,*,,no,data/courses.json#cleanName
scrim,platform,*,,no,I18N-PLAN.md#4-phase-5-item-3
Scrimba,platform,*,,no,I18N-PLAN.md#4-phase-5-item-3
Scrimba Pro,platform,*,,no,I18N-PLAN.md#4-phase-5-item-3
scrims,platform,*,,no,I18N-PLAN.md#4-phase-5-item-3
CSS,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
HTML,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
JavaScript,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
MCP,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
Model Context Protocol,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
Next.js,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
Node.js,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
Python,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
RAG,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
React,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
React Router,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
SQL,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
Tailwind,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
Tailwind CSS,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
TypeScript,technology,*,,no,I18N-PLAN.md#4-phase-5-item-3
